Hours_Studied,Marks
7.49,76.04
19.01,100.0
14.64,97.66
11.97,90.71
3.12,36.45
3.12,37.82
1.16,15.29
17.32,92.02
12.02,93.03
14.16,91.14
0.41,7.97
19.4,100.0
16.65,98.91
4.25,47.17
3.64,32.03
3.67,37.41
6.08,54.0
10.5,92.93
8.64,90.78
5.82,57.05
12.24,100.0
2.79,30.59
5.84,72.1
7.33,73.74
9.12,84.18
15.7,96.62
3.99,35.12
10.28,100.0
11.85,97.0
0.93,8.6
12.15,96.17
3.41,37.81
1.3,10.75
18.98,100.0
19.31,100.0
16.17,95.08
6.09,56.29
1.95,16.97
13.68,100.0
8.8,88.49
2.44,27.56
9.9,100.0
0.69,8.03
18.19,92.75
5.18,57.04
13.25,97.05
6.23,66.7
10.4,100.0
10.93,91.99
3.7,43.88
19.39,100.0
15.5,93.77
18.79,98.31
17.9,98.08
11.96,96.91
18.44,100.0
1.77,24.89
3.92,39.23
0.9,15.7
6.51,70.01
7.77,78.9
5.43,55.15
16.57,91.03
7.14,63.85
5.62,57.01
10.85,92.51
2.82,27.99
16.04,94.12
1.49,5.97
19.74,98.58
15.44,94.72
3.97,40.14
0.11,0.0
16.31,95.12
14.14,100.0
14.58,97.43
15.43,99.54
1.48,8.45
7.17,83.64
2.32,32.39
17.26,100.0
12.47,100.0
6.62,66.26
1.27,14.92
6.22,67.44
6.5,61.89
14.59,94.57
12.75,88.44
17.74,92.93
9.44,100.0
2.39,22.25
14.26,95.2
15.22,98.38
11.23,88.73
15.42,100.0
9.88,100.0
10.45,98.68
8.55,93.76
0.51,0.0
2.16,30.8
0.63,2.63
12.73,90.39
6.29,61.68
10.17,100.0
18.15,96.69
4.99,45.2
8.21,75.6
15.11,96.26
4.58,35.78
1.54,8.9
5.8,65.67
3.22,38.86
18.59,96.15
16.16,94.46
12.67,97.08
17.43,100.0
16.07,98.81
3.73,41.86
17.85,95.78
10.79,97.09
16.15,100.0
17.92,97.42
6.36,54.11
2.2,28.41
4.56,42.51
8.54,95.98
16.36,100.0
17.21,97.14
0.14,3.59
10.21,96.25
8.35,81.05
4.44,45.46
2.4,28.4
6.75,65.2
18.86,93.68
6.46,62.86
10.38,100.0
14.06,100.0
7.27,74.54
19.44,99.7
19.25,93.64
5.04,54.74
9.94,100.0
6.02,56.63
5.7,48.03
0.74,1.27
12.19,93.44
10.05,100.0
1.03,18.06
5.57,53.53
18.17,94.75
4.79,49.22
2.9,29.04
9.79,100.0
19.71,94.17
4.84,53.16
13.44,95.59
15.23,100.0
4.75,46.17
14.56,93.72
7.36,83.12
12.65,100.0
12.67,87.83
10.72,94.56
1.81,24.08
16.71,90.81
6.42,68.01
3.73,40.64
0.82,4.66
11.82,96.75
13.55,86.34
0.33,12.17
10.24,95.24
4.53,49.32
12.9,99.86
3.49,41.66
13.82,94.62
7.73,78.37
18.73,99.59
2.75,31.87
6.82,73.99
2.27,20.31
18.49,93.47
17.55,100.0
5.16,41.4
13.2,100.0
16.34,95.28
11.1,96.77
10.59,93.38
4.84,48.13
1.86,24.98
17.94,100.0
18.01,99.25
12.66,97.23
6.78,60.58
6.98,65.62
14.52,95.07
17.94,99.08
17.74,97.14
15.6,100.0
